WellNo,State,District,Block,Village,Latitude,Longitude,MostRecentDWLR,NumPoints,API request OP 
W194301074284901,Maharashtra ,Ahmednagar,Kopargaon,Rahata,19.71694,74.48028,,,
W203815077030001,Maharashtra ,Akola,Barshitakli,Kanheri (Sarap),20.6375,77.05,,,
W204405077221702,Maharashtra ,Akola,Murtijapur,Murtijapur,20.73472,77.37139,,,
W210430077532801,Maharashtra ,Amravati,Amravati,Wagholi,21.075,77.89111,,,
W210410077190401,Maharashtra ,Amravati,Anjangaon S,Khirgavhan,21.06944,77.31778,,,
W211000077180002,Maharashtra ,Amravati,Anjangaon S,Anjangaon S,21.16667,77.3,,,
W205123077394201,Maharashtra ,Amravati,Bhatkuli,Uttamsara,20.85639,77.66167,,,
W204900078081501,Maharashtra ,Amravati,Chandur Ril,Dhamangaon (Rly),20.81667,78.1375,,,
W211618077510501,Maharashtra ,Amravati,Morshi,Kolwihir,21.27167,77.85139,,,
W211708077591701,Maharashtra ,Amravati,Morshi,Talni,21.28555,77.98805,,,
W212420078022501,Maharashtra ,Amravati,Morshi,Yavali,21.40556,78.04028,,,
W205900078020001,Maharashtra ,Amravati,Tiwsa,Warha,20.98333,78.03333,,,
W212425078120801,Maharashtra ,Amravati,Warud,Karajgaon,21.40694,78.20222,,,
W212727078110001,Maharashtra ,Amravati,Warud,Benoda,21.4575,78.18333,,,
W184300075420001,Maharashtra ,Beed,Beed,Chousala,18.71667,75.7,,,
W211455079395302,Maharashtra ,Bhandara,Mohadi,Warthi,21.24861,79.66472,,,
W205636079421201,Maharashtra ,Bhandara,Pauni,Adyal,20.94333,79.70333,,,
W201859075565101,Maharashtra ,Buldhana,Buldhana,Jamb,20.31639,75.9475,,,
W201958076004001,Maharashtra ,Buldhana,Buldhana,Chandol,20.33278,76.01111,,,
W202642076045801,Maharashtra ,Buldhana,Buldhana,Chikala,20.445,76.08278,,,
W202734075595001,Maharashtra ,Buldhana,Buldhana,Shekapur,20.45944,75.99722,,,
W203025076121101,Maharashtra ,Buldhana,Buldhana,Malvihir,20.50694,76.20306,,,
W201120076094901,Maharashtra ,Buldhana,Chikli,Shelgaon Atol,20.18889,76.16361,,,
W201344076142001,Maharashtra ,Buldhana,Chikli,Bharosa,20.22889,76.23889,,,
W201528076163701,Maharashtra ,Buldhana,Chikli,Rohada,20.25778,76.27695,,,
W201611076205601,Maharashtra ,Buldhana,Chikli,Ambhasi,20.26972,76.34889,,,
W201620076140101,Maharashtra ,Buldhana,Chikli,Malagi,20.27222,76.23361,,,
W195832076014302,Maharashtra ,Buldhana,D Raja,Giroli Bk,19.97556,76.02861,,,
W200013076083202,Maharashtra ,Buldhana,D Raja,Chincholi Bk,20.00361,76.14222,,,
W200436076052101,Maharashtra ,Buldhana,D Raja,Singaon Jahagir,20.07667,76.08916,,,
W200508076122601,Maharashtra ,Buldhana,D Raja,Mandapgaon,20.08556,76.20722,,,
W200542076112602,Maharashtra ,Buldhana,D Raja,Deulgaon Mahi,20.095,76.19055,,,
W200848076165401,Maharashtra ,Buldhana,D Raja,Baigaon Badruk,20.14667,76.28167,,,
W201329076161601,Maharashtra ,Buldhana,D Raja,Mera Khurd,20.22472,76.27111,,,
W205304076121101,Maharashtra ,Buldhana,Malkapur,Malkapur,20.88445,76.20306,,,
W201102076431901,Maharashtra ,Buldhana,Mehkar,Dongaon,20.18389,76.72195,,,
W201435076343001,Maharashtra ,Buldhana,Mehkar,Naygaon,20.24306,76.575,,,
W204042076125001,Maharashtra ,Buldhana,Motala,Motala,20.67833,76.21389,,,
W195159076094201,Maharashtra ,Buldhana,Sindkhedraja,Bhosa,19.86639,76.16167,,,
W195222076123301,Maharashtra ,Buldhana,Sindkhedraja,Chincholi Jahangir,19.87278,76.20917,,,
W195316076154801,Maharashtra ,Buldhana,Sindkhedraja,Wardadi Bk,19.88778,76.26334,,,
W195650076163701,Maharashtra ,Buldhana,Sindkhedraja,Jambhora,19.94722,76.27695,,,
W195703076071501,Maharashtra ,Buldhana,Sindkhedraja,Sindkhed Raja,19.95083,76.12083,,,
W200119076153901,Maharashtra ,Buldhana,Sindkhedraja,Hiwarkhed,20.02194,76.26083,,,
W200345076235901,Maharashtra ,Buldhana,Sindkhedraja,Deolgaon Kol,20.0625,76.39972,,,
W200420076200201,Maharashtra ,Buldhana,Sindkhedraja,Malkapur Pangra,20.07222,76.33389,,,
W200452076190601,Maharashtra ,Buldhana,Sindkhedraja,Dorvhi,20.08111,76.31834,,,
W200936076211101,Maharashtra ,Buldhana,Sindkhedraja,Daregaon,20.16,76.35306,,,
W201213076220701,Maharashtra ,Buldhana,Sindkhedraja,Shindhi,20.20361,76.36861,,,
W201123079021201,Maharashtra ,Chandrapur,Bhadrawati,Nandori (Bk),20.18972,79.03667,,,
W195942079134002,Maharashtra ,Chandrapur,Chandrapur,Morwa,19.995,79.22778,,,
W200023079295401,Maharashtra ,Chandrapur,Chandrapur,Ajaypur,20.00639,79.49834,,,
W203148079261401,Maharashtra ,Chandrapur,Chimur,Malewada,20.53,79.43723,,,
W200600079450001,Maharashtra ,Chandrapur,Mul,Saoli,20.1,79.75,,,
W203448079401201,Maharashtra ,Chandrapur,Nagbhid,Nagbhid,20.58,79.67,,,
W194436078590901,Maharashtra ,Chandrapur,Rajura,Korpana,19.74333,78.98583,,,
W201824078510501,Maharashtra ,Chandrapur,Warora,Madheri,20.30667,78.85139,,,
W202323079111801,Maharashtra ,Chandrapur,Warora,Chargaon,20.38972,79.18833,,,
W202511078573001,Maharashtra ,Chandrapur,Warora,Barwha,20.41972,78.95834,,,
W201730075204501,Maharashtra ,Chhatrapati Sambhajinagar,Kanand,Digar Pishore,20.29167,75.34583,,,
