,date,value,year,month,day_of_year,rolling_avg_30d
0,2024-02-11T06:00:00.000,14.95,2024,February,42,
1,2024-02-11T12:00:00.000,14.97,2024,February,42,
2,2024-02-11T18:00:00.000,14.96,2024,February,42,
3,2024-02-12T00:00:00.000,14.97,2024,February,43,
4,2024-02-12T06:00:00.000,14.96,2024,February,43,
5,2024-02-12T12:00:00.000,14.97,2024,February,43,
6,2024-02-12T18:00:00.000,14.96,2024,February,43,
7,2024-02-13T00:00:00.000,14.98,2024,February,44,
8,2024-02-13T06:00:00.000,14.97,2024,February,44,
9,2024-02-13T12:00:00.000,14.97,2024,February,44,
10,2024-02-13T18:00:00.000,14.97,2024,February,44,
11,2024-02-14T00:00:00.000,14.98,2024,February,45,
12,2024-02-14T06:00:00.000,14.98,2024,February,45,
13,2024-02-14T12:00:00.000,14.98,2024,February,45,
14,2024-02-14T18:00:00.000,14.98,2024,February,45,
15,2024-02-15T00:00:00.000,14.99,2024,February,46,
16,2024-02-15T06:00:00.000,14.98,2024,February,46,
17,2024-02-15T12:00:00.000,14.99,2024,February,46,
18,2024-02-15T18:00:00.000,14.98,2024,February,46,
19,2024-02-16T00:00:00.000,14.99,2024,February,47,
20,2024-02-16T06:00:00.000,14.99,2024,February,47,
21,2024-02-16T12:00:00.000,14.99,2024,February,47,
22,2024-02-16T18:00:00.000,14.99,2024,February,47,
23,2024-02-17T00:00:00.000,15,2024,February,48,
24,2024-02-17T06:00:00.000,15,2024,February,48,
25,2024-02-17T12:00:00.000,14.99,2024,February,48,
26,2024-02-17T18:00:00.000,15,2024,February,48,
27,2024-02-18T00:00:00.000,15,2024,February,49,
28,2024-02-18T06:00:00.000,15,2024,February,49,
29,2024-02-18T12:00:00.000,15,2024,February,49,14.981333333333334
30,2024-02-18T18:00:00.000,15.01,2024,February,49,14.983333333333333
31,2024-02-19T00:00:00.000,15.01,2024,February,50,14.984666666666667
32,2024-02-19T06:00:00.000,15.01,2024,February,50,14.986333333333334
33,2024-02-19T12:00:00.000,15.01,2024,February,50,14.987666666666666
34,2024-02-19T18:00:00.000,15.02,2024,February,50,14.989666666666666
35,2024-02-20T00:00:00.000,15.02,2024,February,51,14.991333333333332
36,2024-02-20T06:00:00.000,15.02,2024,February,51,14.993333333333334
37,2024-02-20T12:00:00.000,15.02,2024,February,51,14.994666666666665
38,2024-02-20T18:00:00.000,15.02,2024,February,51,14.996333333333332
39,2024-02-21T00:00:00.000,15.03,2024,February,52,14.998333333333333
40,2024-02-21T06:00:00.000,15.02,2024,February,52,15
41,2024-02-21T12:00:00.000,15.03,2024,February,52,15.001666666666667
42,2024-02-21T18:00:00.000,15.03,2024,February,52,15.003333333333332
43,2024-02-22T00:00:00.000,15.04,2024,February,53,15.005333333333335
44,2024-02-22T06:00:00.000,15.03,2024,February,53,15.007
45,2024-02-22T12:00:00.000,15.03,2024,February,53,15.008333333333333
46,2024-02-22T18:00:00.000,15.04,2024,February,53,15.010333333333334
47,2024-02-23T00:00:00.000,15.05,2024,February,54,15.012333333333334
